Date,Open,High,Low,Close,Volume,SMA(7),SMA(10),SMA(50),SMA(200)
2005-02-25,5.575,5.679,5.575,5.65,2277600,5.65,5.65,5.65,5.65
2005-02-28,5.711,5.819,5.65,5.689,1106400,5.6695,5.6695,5.6695,5.6695
2005-03-01,5.666,5.714,5.614,5.709,1268000,5.682666666666667,5.682666666666667,5.682666666666667,5.682666666666667
2005-03-02,5.7125,5.7375,5.6925,5.694,1143200,5.6855,5.6855,5.6855,5.6855
2005-03-03,5.7,5.731,5.696,5.719,1389600,5.692200000000001,5.692200000000001,5.692200000000001,5.692200000000001
2005-03-04,5.7425,5.806,5.7125,5.806,904000,5.711166666666667,5.711166666666667,5.711166666666667,5.711166666666667
2005-03-07,5.821,5.9075,5.801,5.876,1362400,5.734714285714285,5.734714285714285,5.734714285714285,5.734714285714285
2005-03-08,5.866,5.869,5.8125,5.839,1216800,5.761714285714286,5.74775,5.74775,5.74775
2005-03-09,5.819,5.859,5.769,5.77,1338400,5.773285714285714,5.750222222222222,5.750222222222222,5.750222222222222
2005-03-10,5.744,5.7575,5.515,5.58,2043200,5.754857142857142,5.733199999999999,5.733199999999999,5.733199999999999
2005-03-11,5.6,5.6875,5.5825,5.644,2573600,5.7477142857142836,5.7326,5.725090909090908,5.725090909090908
2005-03-14,5.671,5.735,5.6575,5.731,1173600,5.749428571428569,5.7368,5.725583333333333,5.725583333333333
2005-03-15,5.7625,5.8125,5.681,5.75,947200,5.74142857142857,5.740899999999999,5.727461538461538,5.727461538461538
2005-03-16,5.7325,5.74,5.6875,5.711,1006400,5.717857142857142,5.742599999999999,5.726285714285714,5.726285714285714
2005-03-17,5.7,5.7,5.45,5.564,3144000,5.678571428571428,5.727099999999998,5.715466666666667,5.715466666666667
2005-03-18,5.719,5.725,5.594,5.616,1294400,5.656571428571427,5.708099999999999,5.70925,5.70925
2005-03-21,5.586,5.665,5.5275,5.579,611200,5.65642857142857,5.678399999999999,5.701588235294118,5.701588235294118
2005-03-22,5.575,5.75,5.575,5.679,961600,5.661428571428571,5.6624,5.700333333333333,5.700333333333333
2005-03-23,5.629,5.629,5.51,5.525,719200,5.631999999999999,5.6379,5.691105263157895,5.691105263157895
2005-03-24,5.55,5.569,5.509,5.546,1337600,5.602857142857141,5.6345,5.6838500000000005,5.6838500000000005
2005-03-28,5.546,5.714,5.5,5.6825,1603200,5.598785714285713,5.63835,5.683785714285714,5.683785714285714
2005-03-29,5.675,5.7,5.521,5.525,1467200,5.593214285714284,5.617749999999999,5.676568181818182,5.676568181818182
2005-03-30,5.5125,5.61,5.475,5.526,790400,5.580357142857141,5.595349999999999,5.670021739130435,5.670021739130435
2005-03-31,5.5,5.62,5.481,5.551,633600,5.576357142857141,5.57935,5.6650625,5.6650625
2005-04-01,5.5625,5.635,5.466,5.534,676800,5.555642857142855,5.57635,5.65982,5.65982
2005-04-04,5.5275,5.5725,5.501,5.535,799200,5.557071428571427,5.568249999999999,5.655019230769231,5.655019230769231
2005-04-05,5.539,5.549,5.5,5.501,776800,5.550642857142855,5.560449999999999,5.649314814814814,5.649314814814814
2005-04-06,5.56,5.5925,5.5,5.524,478400,5.527999999999999,5.544949999999998,5.644839285714285,5.644839285714285
2005-04-07,5.5125,5.5775,5.5,5.5775,624800,5.535499999999999,5.5501999999999985,5.64251724137931,5.64251724137931
2005-04-08,5.3875,5.394,5.0625,5.1875,5308800,5.487142857142857,5.5143499999999985,5.627349999999999,5.627349999999999
2005-04-11,5.189,5.384,5.1325,5.285,2223200,5.4491428571428555,5.4746,5.616306451612902,5.616306451612902
2005-04-12,5.25,5.25,5.1,5.219,1500800,5.4041428571428565,5.444,5.603890624999999,5.603890624999999
2005-04-13,5.206,5.206,5.041,5.089,800800,5.34042857142857,5.4003,5.588287878787878,5.588287878787878
2005-04-14,5.039,5.039,4.976,5.0375,1536000,5.274214285714285,5.34895,5.572088235294117,5.572088235294117
2005-04-15,5.0375,5.144,4.875,4.929,1797600,5.189214285714285,5.28845,5.5537142857142845,5.5537142857142845
2005-04-18,4.93,5.015,4.919,5.014,1295200,5.108714285714285,5.236350000000001,5.538722222222222,5.538722222222222
2005-04-19,5.0325,5.15,5.026,5.1375,880000,5.101571428571428,5.200000000000001,5.527878378378378,5.527878378378378
2005-04-20,5.136,5.22,5.079,5.125,1511200,5.078714285714286,5.160100000000002,5.517276315789473,5.517276315789473
2005-04-21,5.136,5.2125,5.136,5.2125,766400,5.077785714285715,5.1236000000000015,5.5094615384615375,5.5094615384615375
2005-04-22,5.2125,5.2125,5.006,5.0625,2036800,5.074,5.111100000000001,5.498287499999999,5.498287499999999
2005-04-25,5.069,5.2175,5.069,5.189,1148800,5.095642857142857,5.101500000000001,5.490743902439023,5.490743902439023
2005-04-26,5.189,5.309,5.1175,5.149,998400,5.127071428571428,5.094500000000001,5.482607142857142,5.482607142857142
2005-04-27,5.131,5.144,4.9625,5.056,900800,5.133071428571428,5.091200000000001,5.472686046511627,5.472686046511627
2005-04-28,5.056,5.0575,4.9325,4.991,2286400,5.112142857142857,5.086550000000001,5.461738636363635,5.461738636363635
2005-04-29,4.994,5.044,4.954,5.0225,1952000,5.097499999999999,5.0959,5.451977777777777,5.451977777777777
2005-05-02,5.044,5.046,4.939,5.0425,1768800,5.073214285714286,5.09875,5.443076086956521,5.443076086956521
2005-05-03,5.001,5.0025,4.9375,4.9525,1582400,5.0575,5.0802499999999995,5.432638297872339,5.432638297872339
2005-05-04,4.954,4.9825,4.9125,4.965,823200,5.0255,5.0642499999999995,5.422895833333332,5.422895833333332
2005-05-05,4.944,5,4.934,4.989,741600,5.002642857142857,5.0419,5.414040816326528,5.414040816326528
2005-05-06,5.081,5.105,5.001,5.066,762400,5.004071428571428,5.04225,5.407079999999997,5.407079999999997
2005-05-09,5.056,5.056,4.969,5.034,967200,5.010214285714285,5.02675,5.394759999999998,5.39976470588235
2005-05-10,5.034,5.0425,4.9375,4.96,976800,5.0012857142857134,5.0078499999999995,5.380179999999997,5.39130769230769
2005-05-11,4.95,4.981,4.925,4.946,794400,4.987499999999999,4.99685,5.364919999999997,5.382905660377356
2005-05-12,4.9475,4.9575,4.8775,4.894,1666400,4.979142857142856,4.98715,5.348919999999997,5.37385185185185
2005-05-13,4.875,4.875,4.7425,4.7825,1143200,4.953071428571428,4.96315,5.330189999999998,5.363099999999998
2005-05-16,4.765,4.844,4.7525,4.831,904000,4.930499999999999,4.942,5.310689999999998,5.353598214285713
2005-05-17,4.836,4.875,4.814,4.874,853600,4.903071428571428,4.934150000000001,5.290649999999999,5.345184210526315
2005-05-18,4.874,5.01,4.8625,4.9625,896800,4.8928571428571415,4.9339,5.273119999999999,5.33858620689655
2005-05-19,4.969,5.014,4.894,4.909,680000,4.885571428571427,4.9259,5.2559,5.331305084745761
2005-05-20,4.896,4.896,4.7775,4.816,1232000,4.866999999999999,4.900900000000001,5.240619999999999,5.322716666666665
2005-05-23,4.819,4.894,4.806,4.81,1315200,4.8549999999999995,4.878500000000001,5.223939999999999,5.314311475409834
2005-05-24,4.8125,4.8125,4.7062,4.755,1208800,4.851071428571429,4.858000000000001,5.204419999999999,5.305290322580643
2005-05-25,4.7275,4.7275,4.5588,4.595,1912800,4.817357142857143,4.8229000000000015,5.1813199999999995,5.294015873015872
2005-05-26,4.5912,4.8075,4.5912,4.775,4176800,4.803214285714287,4.811000000000002,5.1625999999999985,5.285906249999998
2005-05-27,4.7875,4.8425,4.781,4.8075,764000,4.78107142857143,4.813500000000001,5.147469999999998,5.278546153846152
2005-05-31,4.809,4.819,4.776,4.819,1182400,4.768214285714287,4.812300000000001,5.131529999999999,5.271583333333332
2005-06-01,4.8375,4.894,4.75,4.851,2318400,4.773214285714288,4.8100000000000005,5.1169699999999985,5.265305970149252
2005-06-02,4.8625,4.999,4.8625,4.946,2437600,4.79264285714286,4.808350000000001,5.102309999999999,5.2606102941176465
2005-06-03,4.931,4.95,4.809,4.8175,1616800,4.801571428571431,4.799200000000001,5.0881599999999985,5.2541884057971
2005-06-06,4.819,4.819,4.6925,4.7425,2060000,4.82264285714286,4.791850000000001,5.072089999999999,5.246878571428571
